구분,서울,부산,대구,광주,대전
04-Jan,26800,26000,26200,27200,25000
05-Jan,25800,24000,24200,24200,22000
06-Jan,27200,24000,24200,24200,23000
07-Jan,27200,26000,27200,26200,25000
08-Jan,27200,26000,27200,26200,25000
11-Jan,27200,26000,27200,26200,25000
12-Jan,28800,26000,27200,26200,26000
13-Jan,28800,26000,27200,26200,26000
14-Jan,30800,28000,29200,29200,28000
15-Jan,32000,28000,29200,28200,28000
18-Jan,28800,28000,29200,28200,27000
19-Jan,27000,27000,27200,27200,26000
20-Jan,26400,25000,26200,26200,24000
21-Jan,24600,25000,24200,25200,24000
22-Jan,24600,25000,24200,24200,23000
25-Jan,26800,25000,25200,25200,23500
26-Jan,27200,25000,25200,24200,24000
27-Jan,27200,25000,25200,25200,25000
28-Jan,27200,25000,25200,25200,25000
29-Jan,27200,25000,25200,25200,25000
01-Feb,27200,25000,25200,25200,24000
02-Feb,27200,25000,25200,25200,26000
03-Feb,27200,25000,24200,24200,26000
04-Feb,26000,25000,24200,26200,26000
05-Feb,25600,25000,24200,26200,26000
08-Feb,24800,25000,24200,25200,26000
09-Feb,24800,25000,26200,26200,27000
10-Feb,26200,25000,26200,26200,27000
15-Feb,24000,25000,24200,24200,21000
16-Feb,24000,23000,23200,23200,19000
17-Feb,24000,22000,23200,23200,19000
18-Feb,22000,21000,23200,22200,19000
19-Feb,22000,20000,20200,20200,17000
22-Feb,20800,20000,18200,18200,16000
23-Feb,20800,20000,20200,19200,16000
24-Feb,19600,18000,18200,18200,15000
25-Feb,19600,18000,18200,18600,15000
26-Feb,19600,18000,17200,17200,15000
02-Mar,19600,18000,17200,17200,17000
03-Mar,19600,18000,19200,19200,20000
04-Mar,24000,18000,19200,19200,20000
05-Mar,25200,18000,19200,19200,20000
08-Mar,25200,18000,19200,18200,19000
09-Mar,25200,18000,19200,18200,18000
10-Mar,25200,18000,19200,19200,18500
11-Mar,20600,18000,19200,18200,18000
12-Mar,17400,18000,17200,17200,18000
15-Mar,17400,18000,18200,18200,19000
16-Mar,15800,17000,17200,16200,17000
17-Mar,15800,17000,17200,16200,17000
18-Mar,16000,18000,17200,18500,18000
19-Mar,16000,18000,17200,18500,18000
22-Mar,16000,18000,17200,17200,17000
23-Mar,16000,18000,17200,17200,17000
24-Mar,16000,18000,17200,17200,17000
25-Mar,12800,17000,17200,17200,15000
26-Mar,13200,17000,17200,16200,15000
29-Mar,12800,17000,17200,16200,15000
30-Mar,10600,16000,16200,15200,14000
31-Mar,10600,16000,16200,14200,13000
01-Apr,10600,16000,16200,14200,13000
02-Apr,10600,15000,14200,13200,13000
05-Apr,10600,15000,14200,12200,13000
06-Apr,10600,15000,14200,13200,15000
07-Apr,10600,15000,14200,13200,15000
08-Apr,10600,15000,14200,13200,15000
09-Apr,10600,15000,14200,14200,16000
12-Apr,10600,15000,14200,14200,16000
13-Apr,10600,15000,14200,14200,15000
14-Apr,10600,15000,14200,14200,15000
15-Apr,10600,15000,14200,14200,14000
16-Apr,10600,14000,14200,13200,14000
19-Apr,10600,14000,14200,13200,17000
20-Apr,10600,14000,14200,14200,16000
21-Apr,10600,14000,14200,14200,16000
22-Apr,10600,14000,14200,14200,15500
23-Apr,12400,14000,14200,14200,14500
26-Apr,12400,14000,14200,14200,15000
27-Apr,12400,14000,14200,13200,14000
28-Apr,12400,13000,13200,12200,12000
29-Apr,12400,13000,13200,13200,13000
30-Apr,16000,13000,13200,13200,13000
03-May,16000,13000,13200,13200,13000
04-May,16000,13000,13200,13200,13000
06-May,16000,13000,14200,14200,15000
07-May,16000,13000,14200,14200,15000
10-May,16000,13000,14200,14200,15000
24-Nov,28500,35000,30000,28200,29500
25-Nov,28500,35000,30000,28200,29600
26-Nov,28500,35000,31000,30200,29600
29-Nov,28500,30000,29000,28200,28000
30-Nov,28500,28000,28000,28200,28000
01-Dec,28500,28000,28000,28200,28000
02-Dec,28500,27000,27000,28200,28000
06-Dec,28500,27000,27000,28200,35300
07-Dec,28500,27000,27000,28200,35300
08-Dec,28500,27000,27000,28200,35300
09-Dec,36500,31000,32000,32200,36300
10-Dec,36500,31000,32000,32200,36300
13-Dec,35700,31000,32000,32200,36300
14-Dec,33700,31000,34000,34200,36300
15-Dec,33700,31000,34000,34200,33000
16-Dec,33700,31000,34000,34200,33300
17-Dec,33700,31000,33000,33200,33300
20-Dec,34200,33000,34000,34200,34000
21-Dec,40200,38000,37000,34200,34000
22-Dec,40200,38000,40000,38200,41600
23-Dec,40200,39000,45000,38200,51600
24-Dec,42500,39000,44000,43200,46500
27-Dec,50000,42000,48000,48200,46500
28-Dec,47500,40000,44000,45200,41300
29-Dec,47500,40000,40000,42200,40300
30-Dec,47000,40000,40000,40200,40300
31-Dec,47000,40000,40000,40200,40300
